"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Check that the API returns a list of events and a status code of 200.","493","Getting a list of events","","Thu Apr 09 06:42:24 UTC 2026","passed","Thu Apr 09 06:42:24 UTC 2026","","com.elesinsergei.narvaonline.api.EventApiTest","com.elesinsergei.narvaonline.api.EventApiTest","shouldGetEventList"
"","3167","Post creation and removal via API","","Thu Apr 09 06:42:34 UTC 2026","passed","Thu Apr 09 06:42:38 UTC 2026","","com.elesinsergei.narvaonline.api.PostApiTest","com.elesinsergei.narvaonline.api.PostApiTest","postCreatedViaApiAndDeleted"
"Check that the API returns a list of blog posts and a status code of 200.","4862","Getting a list of blog posts","","Thu Apr 09 06:42:12 UTC 2026","passed","Thu Apr 09 06:42:17 UTC 2026","","com.elesinsergei.narvaonline.api.BlogApiTest","com.elesinsergei.narvaonline.api.BlogApiTest","shouldGetBlogPostList"
"","0","simpleTest()","","Thu Apr 09 06:46:17 UTC 2026","passed","Thu Apr 09 06:46:17 UTC 2026","","com.elesinsergei.narvaonline.ui.SimpleTest","com.elesinsergei.narvaonline.ui.SimpleTest","simpleTest"
"","4797","Successful event post creation via APi","","Thu Apr 09 06:42:49 UTC 2026","passed","Thu Apr 09 06:42:54 UTC 2026","","com.elesinsergei.narvaonline.e2e.EventHybridTest","com.elesinsergei.narvaonline.e2e.EventHybridTest","shouldSeeCreatedEventOnFrontEnd"
"Check that the API returns a list of posts and a status code of 200.","1046","Getting a list of posts","","Thu Apr 09 06:42:33 UTC 2026","passed","Thu Apr 09 06:42:34 UTC 2026","","com.elesinsergei.narvaonline.api.PostApiTest","com.elesinsergei.narvaonline.api.PostApiTest","shouldGetPostsList"
"","11651","Successful blog post creation via APi","","Thu Apr 09 06:42:38 UTC 2026","passed","Thu Apr 09 06:42:49 UTC 2026","","com.elesinsergei.narvaonline.e2e.BlogHybridTest","com.elesinsergei.narvaonline.e2e.BlogHybridTest","shouldSeeCreatedBlogPostOnFrontEnd"
"Check that the API returns a list of organizations and a status code of 200.","491","Getting a list of organizations","","Thu Apr 09 06:42:26 UTC 2026","passed","Thu Apr 09 06:42:27 UTC 2026","","com.elesinsergei.narvaonline.api.OrganizationApiTest","com.elesinsergei.narvaonline.api.OrganizationApiTest","shouldGetPostsList"
"","1547","5. Confirm Ad Publishing","","Thu Apr 09 06:44:01 UTC 2026","passed","Thu Apr 09 06:44:03 UTC 2026","","com.elesinsergei.narvaonline.ui.AdvertsUiTest","com.elesinsergei.narvaonline.ui.AdvertsUiTest","review"
"","7151","Successful post creation via APi","","Thu Apr 09 06:43:29 UTC 2026","passed","Thu Apr 09 06:43:36 UTC 2026","","com.elesinsergei.narvaonline.e2e.PostHybridTest","com.elesinsergei.narvaonline.e2e.PostHybridTest","shouldSeeCreatedPostOnFrontEnd"
"","2331","Organization creation and removal via API","","Thu Apr 09 06:42:24 UTC 2026","passed","Thu Apr 09 06:42:26 UTC 2026","","com.elesinsergei.narvaonline.api.OrganizationApiTest","com.elesinsergei.narvaonline.api.OrganizationApiTest","orgCreatedViaApiAndDeleted"
"","4894","Successful person creation via APi","","Thu Apr 09 06:43:24 UTC 2026","passed","Thu Apr 09 06:43:29 UTC 2026","","com.elesinsergei.narvaonline.e2e.PersonHybridTest","com.elesinsergei.narvaonline.e2e.PersonHybridTest","shouldSeeCreatedPersonOnFrontEnd"
"","5077","Successful login to the admin panel","","Thu Apr 09 06:46:12 UTC 2026","passed","Thu Apr 09 06:46:17 UTC 2026","","com.elesinsergei.narvaonline.ui.LoginUiTest","com.elesinsergei.narvaonline.ui.LoginUiTest","shouldLoginAsAdmin"
"","2027","4. Publishing Ad","","Thu Apr 09 06:43:59 UTC 2026","passed","Thu Apr 09 06:44:01 UTC 2026","","com.elesinsergei.narvaonline.ui.AdvertsUiTest","com.elesinsergei.narvaonline.ui.AdvertsUiTest","publish"
