"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","13507","Successful blog post creation via APi","","Sat Apr 18 14:29:33 UTC 2026","passed","Sat Apr 18 14:29:46 UTC 2026","","com.elesinsergei.narvaonline.e2e.BlogHybridTest","com.elesinsergei.narvaonline.e2e.BlogHybridTest","shouldSeeCreatedBlogPostOnFrontEnd"
"","2348","Parametrized posts test <script>alert(1)</script> (Status: publish)","","Sat Apr 18 14:30:42 UTC 2026","passed","Sat Apr 18 14:30:44 UTC 2026","","com.elesinsergei.narvaonline.e2e.PostParamHybridTest","com.elesinsergei.narvaonline.e2e.PostParamHybridTest","testWordPressPostLogic"
"","4918","Successful person creation via APi","","Sat Apr 18 14:30:22 UTC 2026","passed","Sat Apr 18 14:30:27 UTC 2026","","com.elesinsergei.narvaonline.e2e.PersonHybridTest","com.elesinsergei.narvaonline.e2e.PersonHybridTest","shouldSeeCreatedPersonOnFrontEnd"
"","430","Parametrized posts test      (Status: publish)","","Sat Apr 18 14:30:41 UTC 2026","passed","Sat Apr 18 14:30:42 UTC 2026","","com.elesinsergei.narvaonline.e2e.PostParamHybridTest","com.elesinsergei.narvaonline.e2e.PostParamHybridTest","testWordPressPostLogic"
"","2502","Parametrized posts test Test & Post <> ""quotes"" (Status: publish)","","Sat Apr 18 14:30:47 UTC 2026","passed","Sat Apr 18 14:30:49 UTC 2026","","com.elesinsergei.narvaonline.e2e.PostParamHybridTest","com.elesinsergei.narvaonline.e2e.PostParamHybridTest","testWordPressPostLogic"
"","553","Parametrized user test Проверка создания юзера: *?/765","","Sat Apr 18 14:31:08 UTC 2026","passed","Sat Apr 18 14:31:08 UTC 2026","","com.elesinsergei.narvaonline.e2e.UserParamHybridTest","com.elesinsergei.narvaonline.e2e.UserParamHybridTest","userCreatedViaApiAndDeleted"
"","25779","Creation and complete deletion of an organization","","Sat Apr 18 14:29:52 UTC 2026","passed","Sat Apr 18 14:30:17 UTC 2026","","com.elesinsergei.narvaonline.e2e.OrganizationHybridTest","com.elesinsergei.narvaonline.e2e.OrganizationHybridTest","shouldCreateAndForceDeleteOrganization"
"","12732","2. Filling Ad Form","","Sat Apr 18 14:31:18 UTC 2026","passed","Sat Apr 18 14:31:31 UTC 2026","","com.elesinsergei.narvaonline.ui.AdvertsUiTest","com.elesinsergei.narvaonline.ui.AdvertsUiTest","addAdvert"
"","7052","Successful post creation via APi","","Sat Apr 18 14:30:27 UTC 2026","passed","Sat Apr 18 14:30:34 UTC 2026","","com.elesinsergei.narvaonline.e2e.PostHybridTest","com.elesinsergei.narvaonline.e2e.PostHybridTest","shouldSeeCreatedPostOnFrontEnd"
"","4365","6. Delete Ad","","Sat Apr 18 14:31:35 UTC 2026","passed","Sat Apr 18 14:31:39 UTC 2026","","com.elesinsergei.narvaonline.ui.AdvertsUiTest","com.elesinsergei.narvaonline.ui.AdvertsUiTest","deleteAdv"
"","5131","Successful page post creation via APi","","Sat Apr 18 14:30:17 UTC 2026","passed","Sat Apr 18 14:30:22 UTC 2026","","com.elesinsergei.narvaonline.e2e.PageHybridTest","com.elesinsergei.narvaonline.e2e.PageHybridTest","shouldSeeCreatedPageOnFrontEnd"
"","3069","Post creation and removal via API","","Sat Apr 18 14:29:30 UTC 2026","passed","Sat Apr 18 14:29:33 UTC 2026","","com.elesinsergei.narvaonline.api.PostApiTest","com.elesinsergei.narvaonline.api.PostApiTest","postCreatedViaApiAndDeleted"
"","2114","4. Publishing Ad","","Sat Apr 18 14:31:31 UTC 2026","passed","Sat Apr 18 14:31:33 UTC 2026","","com.elesinsergei.narvaonline.ui.AdvertsUiTest","com.elesinsergei.narvaonline.ui.AdvertsUiTest","publish"
"","563","Parametrized user test Проверка создания юзера: username","","Sat Apr 18 14:31:07 UTC 2026","passed","Sat Apr 18 14:31:08 UTC 2026","","com.elesinsergei.narvaonline.e2e.UserParamHybridTest","com.elesinsergei.narvaonline.e2e.UserParamHybridTest","userCreatedViaApiAndDeleted"
"","23005","Successful person creation and deletion","","Sat Apr 18 14:32:56 UTC 2026","passed","Sat Apr 18 14:33:19 UTC 2026","","com.elesinsergei.narvaonline.ui.CreatePersonUiTest","com.elesinsergei.narvaonline.ui.CreatePersonUiTest","shouldCreatePerson"
"","9360","User creation, test login via UI, user removal via UI","","Sat Apr 18 14:30:49 UTC 2026","passed","Sat Apr 18 14:30:59 UTC 2026","","com.elesinsergei.narvaonline.e2e.UserHybridTest","com.elesinsergei.narvaonline.e2e.UserHybridTest","userCreatedViaApiAndDeleted"
"","1771","5. Confirm Ad Publishing","","Sat Apr 18 14:31:33 UTC 2026","passed","Sat Apr 18 14:31:35 UTC 2026","","com.elesinsergei.narvaonline.ui.AdvertsUiTest","com.elesinsergei.narvaonline.ui.AdvertsUiTest","review"
"","1809","Person creation and removal via API","","Sat Apr 18 14:29:26 UTC 2026","passed","Sat Apr 18 14:29:28 UTC 2026","","com.elesinsergei.narvaonline.api.PersonApiTest","com.elesinsergei.narvaonline.api.PersonApiTest","personCreatedViaApiAndDeleted"
"Check that the API returns a list of persons and a status code of 200.","468","Getting a list of persons","","Sat Apr 18 14:29:28 UTC 2026","passed","Sat Apr 18 14:29:28 UTC 2026","","com.elesinsergei.narvaonline.api.PersonApiTest","com.elesinsergei.narvaonline.api.PersonApiTest","shouldGetPersonsList"
"Open main page and check page title","3568","Check main page title","","Sat Apr 18 14:33:40 UTC 2026","passed","Sat Apr 18 14:33:43 UTC 2026","","com.elesinsergei.narvaonline.ui.HomeUiTest","com.elesinsergei.narvaonline.ui.HomeUiTest","testNarvaonlineTitle"
"Check that the API returns a list of organizations and a status code of 200.","572","Getting a list of organizations","","Sat Apr 18 14:29:20 UTC 2026","passed","Sat Apr 18 14:29:20 UTC 2026","","com.elesinsergei.narvaonline.api.OrganizationApiTest","com.elesinsergei.narvaonline.api.OrganizationApiTest","shouldGetPostsList"
"","8445","Parametrized user test Проверка создания юзера: 1APItestParamUser","","Sat Apr 18 14:30:59 UTC 2026","passed","Sat Apr 18 14:31:07 UTC 2026","","com.elesinsergei.narvaonline.e2e.UserParamHybridTest","com.elesinsergei.narvaonline.e2e.UserParamHybridTest","userCreatedViaApiAndDeleted"
"","6790","7. Delete User","","Sat Apr 18 14:31:39 UTC 2026","passed","Sat Apr 18 14:31:46 UTC 2026","","com.elesinsergei.narvaonline.ui.AdvertsUiTest","com.elesinsergei.narvaonline.ui.AdvertsUiTest","deleteUser"
"Check that the API returns a list of blog posts and a status code of 200.","1458","Getting a list of blog posts","","Sat Apr 18 14:29:09 UTC 2026","passed","Sat Apr 18 14:29:11 UTC 2026","","com.elesinsergei.narvaonline.api.BlogApiTest","com.elesinsergei.narvaonline.api.BlogApiTest","shouldGetBlogPostList"
"","23618","Successful event creation and deletion","","Sat Apr 18 14:32:09 UTC 2026","passed","Sat Apr 18 14:32:33 UTC 2026","","com.elesinsergei.narvaonline.ui.CreateEventUiTest","com.elesinsergei.narvaonline.ui.CreateEventUiTest","shouldCreateBlog"
"","2393","Event creation and removal via API","","Sat Apr 18 14:29:14 UTC 2026","passed","Sat Apr 18 14:29:17 UTC 2026","","com.elesinsergei.narvaonline.api.EventApiTest","com.elesinsergei.narvaonline.api.EventApiTest","eventCreatedViaApiAndDeleted"
"Check that the API returns a list of posts and a status code of 200.","1091","Getting a list of posts","","Sat Apr 18 14:29:28 UTC 2026","passed","Sat Apr 18 14:29:30 UTC 2026","","com.elesinsergei.narvaonline.api.PostApiTest","com.elesinsergei.narvaonline.api.PostApiTest","shouldGetPostsList"
"","20621","Successful post draft creation","","Sat Apr 18 14:33:19 UTC 2026","passed","Sat Apr 18 14:33:40 UTC 2026","","com.elesinsergei.narvaonline.ui.CreatePostDraftUiTest","com.elesinsergei.narvaonline.ui.CreatePostDraftUiTest","shouldCreateDraftPost"
"","3826","Parametrized posts test Standard Post 1776522634983 (Status: publish)","","Sat Apr 18 14:30:34 UTC 2026","passed","Sat Apr 18 14:30:38 UTC 2026","","com.elesinsergei.narvaonline.e2e.PostParamHybridTest","com.elesinsergei.narvaonline.e2e.PostParamHybridTest","testWordPressPostLogic"
"","6337","Post creation and removal via API","","Sat Apr 18 14:29:02 UTC 2026","passed","Sat Apr 18 14:29:08 UTC 2026","","com.elesinsergei.narvaonline.api.AdvertApiTest","com.elesinsergei.narvaonline.api.AdvertApiTest","postCreatedViaApiAndDeleted"
"Check that the API returns a list of adverts and a status code of 200.","756","Getting a list of adverts","","Sat Apr 18 14:29:08 UTC 2026","passed","Sat Apr 18 14:29:09 UTC 2026","","com.elesinsergei.narvaonline.api.AdvertApiTest","com.elesinsergei.narvaonline.api.AdvertApiTest","shouldGetAdvertsList"
"","3785","Blog post creation and removal via API","","Sat Apr 18 14:29:11 UTC 2026","passed","Sat Apr 18 14:29:14 UTC 2026","","com.elesinsergei.narvaonline.api.BlogApiTest","com.elesinsergei.narvaonline.api.BlogApiTest","blogCreatedViaApiAndDeleted"
"","2483","Parametrized posts test AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA (Status: publish)","","Sat Apr 18 14:30:44 UTC 2026","passed","Sat Apr 18 14:30:47 UTC 2026","","com.elesinsergei.narvaonline.e2e.PostParamHybridTest","com.elesinsergei.narvaonline.e2e.PostParamHybridTest","testWordPressPostLogic"
"","23355","Successful page creation and deletion","","Sat Apr 18 14:32:33 UTC 2026","passed","Sat Apr 18 14:32:56 UTC 2026","","com.elesinsergei.narvaonline.ui.CreatePageUiTest","com.elesinsergei.narvaonline.ui.CreatePageUiTest","shouldCreatePage"
"Check that the API returns a list of pages and a status code of 200.","2728","Getting a list of pages","","Sat Apr 18 14:29:20 UTC 2026","passed","Sat Apr 18 14:29:23 UTC 2026","","com.elesinsergei.narvaonline.api.PageApiTest","com.elesinsergei.narvaonline.api.PageApiTest","shouldGetPagesList"
"","55","3. Review Ad","","Sat Apr 18 14:31:31 UTC 2026","passed","Sat Apr 18 14:31:31 UTC 2026","","com.elesinsergei.narvaonline.ui.AdvertsUiTest","com.elesinsergei.narvaonline.ui.AdvertsUiTest","checkUsernameAndPrice"
"","5272","Successful event post creation via APi","","Sat Apr 18 14:29:46 UTC 2026","passed","Sat Apr 18 14:29:51 UTC 2026","","com.elesinsergei.narvaonline.e2e.EventHybridTest","com.elesinsergei.narvaonline.e2e.EventHybridTest","shouldSeeCreatedEventOnFrontEnd"
"Check that the API returns a list of events and a status code of 200.","568","Getting a list of events","","Sat Apr 18 14:29:17 UTC 2026","passed","Sat Apr 18 14:29:17 UTC 2026","","com.elesinsergei.narvaonline.api.EventApiTest","com.elesinsergei.narvaonline.api.EventApiTest","shouldGetEventList"
"","21342","Successful blog-draft creation","","Sat Apr 18 14:31:48 UTC 2026","passed","Sat Apr 18 14:32:09 UTC 2026","","com.elesinsergei.narvaonline.ui.CreateBlogDraftUiTest","com.elesinsergei.narvaonline.ui.CreateBlogDraftUiTest","shouldCreateBlog"
"","2283","Organization creation and removal via API","","Sat Apr 18 14:29:17 UTC 2026","passed","Sat Apr 18 14:29:20 UTC 2026","","com.elesinsergei.narvaonline.api.OrganizationApiTest","com.elesinsergei.narvaonline.api.OrganizationApiTest","orgCreatedViaApiAndDeleted"
"","3101","Page creation and removal via API","","Sat Apr 18 14:29:23 UTC 2026","passed","Sat Apr 18 14:29:26 UTC 2026","","com.elesinsergei.narvaonline.api.PageApiTest","com.elesinsergei.narvaonline.api.PageApiTest","pageCreatedViaApiAndDeleted"
"","5481","Successful login to the admin panel","","Sat Apr 18 14:33:43 UTC 2026","passed","Sat Apr 18 14:33:49 UTC 2026","","com.elesinsergei.narvaonline.ui.LoginUiTest","com.elesinsergei.narvaonline.ui.LoginUiTest","shouldLoginAsAdmin"
