"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","14322","Post creation and removal via API","","Wed Apr 08 12:44:59 UTC 2026","passed","Wed Apr 08 12:45:14 UTC 2026","","com.elesinsergei.narvaonline.api.PostApiTest","com.elesinsergei.narvaonline.api.PostApiTest","postCreatedViaApiAndDeleted"
"Check that the API returns a list of organizations and a status code of 200.","596","Getting a list of organizations","","Wed Apr 08 12:44:48 UTC 2026","passed","Wed Apr 08 12:44:49 UTC 2026","","com.elesinsergei.narvaonline.api.OrganizationApiTest","com.elesinsergei.narvaonline.api.OrganizationApiTest","shouldGetPostsList"
"","4360","4. Publishing Ad","","Wed Apr 08 12:47:46 UTC 2026","failed","Wed Apr 08 12:47:50 UTC 2026","","com.elesinsergei.narvaonline.ui.AdvertsUiTest","com.elesinsergei.narvaonline.ui.AdvertsUiTest","publish"
"","8","simpleTest()","","Wed Apr 08 12:50:47 UTC 2026","passed","Wed Apr 08 12:50:47 UTC 2026","","com.elesinsergei.narvaonline.ui.SimpleTest","com.elesinsergei.narvaonline.ui.SimpleTest","simpleTest"
"","3157","Organization creation and removal via API","","Wed Apr 08 12:44:45 UTC 2026","passed","Wed Apr 08 12:44:48 UTC 2026","","com.elesinsergei.narvaonline.api.OrganizationApiTest","com.elesinsergei.narvaonline.api.OrganizationApiTest","orgCreatedViaApiAndDeleted"
"","38601","Creation and complete deletion of an organization","","Wed Apr 08 12:45:54 UTC 2026","passed","Wed Apr 08 12:46:32 UTC 2026","","com.elesinsergei.narvaonline.e2e.OrganizationHybridTest","com.elesinsergei.narvaonline.e2e.OrganizationHybridTest","shouldCreateAndForceDeleteOrganization"
"","6351","7. Delete User","","Wed Apr 08 12:48:01 UTC 2026","failed","Wed Apr 08 12:48:08 UTC 2026","","com.elesinsergei.narvaonline.ui.AdvertsUiTest","com.elesinsergei.narvaonline.ui.AdvertsUiTest","deleteUser"
"","7540","Successful event post creation via APi","","Wed Apr 08 12:45:46 UTC 2026","passed","Wed Apr 08 12:45:54 UTC 2026","","com.elesinsergei.narvaonline.e2e.EventHybridTest","com.elesinsergei.narvaonline.e2e.EventHybridTest","shouldSeeCreatedEventOnFrontEnd"
"","5098","Blog post creation and removal via API","","Wed Apr 08 12:44:36 UTC 2026","passed","Wed Apr 08 12:44:41 UTC 2026","","com.elesinsergei.narvaonline.api.BlogApiTest","com.elesinsergei.narvaonline.api.BlogApiTest","blogCreatedViaApiAndDeleted"
"","3056","Event creation and removal via API","","Wed Apr 08 12:44:41 UTC 2026","passed","Wed Apr 08 12:44:44 UTC 2026","","com.elesinsergei.narvaonline.api.EventApiTest","com.elesinsergei.narvaonline.api.EventApiTest","eventCreatedViaApiAndDeleted"
"","4373","3. Review Ad","","Wed Apr 08 12:47:41 UTC 2026","failed","Wed Apr 08 12:47:46 UTC 2026","","com.elesinsergei.narvaonline.ui.AdvertsUiTest","com.elesinsergei.narvaonline.ui.AdvertsUiTest","checkUsernameAndPrice"
"Check that the API returns a list of blog posts and a status code of 200.","4411","Getting a list of blog posts","","Wed Apr 08 12:44:32 UTC 2026","passed","Wed Apr 08 12:44:36 UTC 2026","","com.elesinsergei.narvaonline.api.BlogApiTest","com.elesinsergei.narvaonline.api.BlogApiTest","shouldGetBlogPostList"
"Check that the API returns a list of pages and a status code of 200.","2768","Getting a list of pages","","Wed Apr 08 12:44:49 UTC 2026","passed","Wed Apr 08 12:44:52 UTC 2026","","com.elesinsergei.narvaonline.api.PageApiTest","com.elesinsergei.narvaonline.api.PageApiTest","shouldGetPagesList"
"","2387","Person creation and removal via API","","Wed Apr 08 12:44:55 UTC 2026","passed","Wed Apr 08 12:44:58 UTC 2026","","com.elesinsergei.narvaonline.api.PersonApiTest","com.elesinsergei.narvaonline.api.PersonApiTest","personCreatedViaApiAndDeleted"
"Open main page and check page title","8777","Check main page title","","Wed Apr 08 12:50:32 UTC 2026","passed","Wed Apr 08 12:50:41 UTC 2026","","com.elesinsergei.narvaonline.ui.HomeUiTest","com.elesinsergei.narvaonline.ui.HomeUiTest","testNarvaonlineTitle"
"","29775","Successful page creation and deletion","","Wed Apr 08 12:49:06 UTC 2026","passed","Wed Apr 08 12:49:36 UTC 2026","","com.elesinsergei.narvaonline.ui.CreatePageUiTest","com.elesinsergei.narvaonline.ui.CreatePageUiTest","shouldCreatePage"
"","36297","Successful post creation via APi","","Wed Apr 08 12:46:47 UTC 2026","broken","Wed Apr 08 12:47:23 UTC 2026","","com.elesinsergei.narvaonline.e2e.PostHybridTest","com.elesinsergei.narvaonline.e2e.PostHybridTest","shouldSeeCreatedPostOnFrontEnd"
"","6252","Successful login to the admin panel","","Wed Apr 08 12:50:41 UTC 2026","passed","Wed Apr 08 12:50:47 UTC 2026","","com.elesinsergei.narvaonline.ui.LoginUiTest","com.elesinsergei.narvaonline.ui.LoginUiTest","shouldLoginAsAdmin"
"","12627","1. Register User","","Wed Apr 08 12:47:24 UTC 2026","failed","Wed Apr 08 12:47:36 UTC 2026","","com.elesinsergei.narvaonline.ui.AdvertsUiTest","com.elesinsergei.narvaonline.ui.AdvertsUiTest","registerTest"
"Check that the API returns a list of posts and a status code of 200.","1230","Getting a list of posts","","Wed Apr 08 12:44:58 UTC 2026","passed","Wed Apr 08 12:44:59 UTC 2026","","com.elesinsergei.narvaonline.api.PostApiTest","com.elesinsergei.narvaonline.api.PostApiTest","shouldGetPostsList"
"Check that the API returns a list of events and a status code of 200.","631","Getting a list of events","","Wed Apr 08 12:44:44 UTC 2026","passed","Wed Apr 08 12:44:45 UTC 2026","","com.elesinsergei.narvaonline.api.EventApiTest","com.elesinsergei.narvaonline.api.EventApiTest","shouldGetEventList"
"","5054","6. Delete Ad","","Wed Apr 08 12:47:56 UTC 2026","failed","Wed Apr 08 12:48:01 UTC 2026","","com.elesinsergei.narvaonline.ui.AdvertsUiTest","com.elesinsergei.narvaonline.ui.AdvertsUiTest","deleteAdv"
"Check that the API returns a list of persons and a status code of 200.","566","Getting a list of persons","","Wed Apr 08 12:44:58 UTC 2026","passed","Wed Apr 08 12:44:58 UTC 2026","","com.elesinsergei.narvaonline.api.PersonApiTest","com.elesinsergei.narvaonline.api.PersonApiTest","shouldGetPersonsList"
"","32302","Successful blog post creation via APi","","Wed Apr 08 12:45:14 UTC 2026","failed","Wed Apr 08 12:45:46 UTC 2026","","com.elesinsergei.narvaonline.e2e.BlogHybridTest","com.elesinsergei.narvaonline.e2e.BlogHybridTest","shouldSeeCreatedBlogPostOnFrontEnd"
"","6139","5. Confirm Ad Publishing","","Wed Apr 08 12:47:50 UTC 2026","failed","Wed Apr 08 12:47:56 UTC 2026","","com.elesinsergei.narvaonline.ui.AdvertsUiTest","com.elesinsergei.narvaonline.ui.AdvertsUiTest","review"
"","30069","Successful person creation and deletion","","Wed Apr 08 12:49:36 UTC 2026","passed","Wed Apr 08 12:50:06 UTC 2026","","com.elesinsergei.narvaonline.ui.CreatePersonUiTest","com.elesinsergei.narvaonline.ui.CreatePersonUiTest","shouldCreatePerson"
"","5552","Successful page post creation via APi","","Wed Apr 08 12:46:32 UTC 2026","passed","Wed Apr 08 12:46:38 UTC 2026","","com.elesinsergei.narvaonline.e2e.PageHybridTest","com.elesinsergei.narvaonline.e2e.PageHybridTest","shouldSeeCreatedPageOnFrontEnd"
"","3725","Page creation and removal via API","","Wed Apr 08 12:44:52 UTC 2026","passed","Wed Apr 08 12:44:55 UTC 2026","","com.elesinsergei.narvaonline.api.PageApiTest","com.elesinsergei.narvaonline.api.PageApiTest","pageCreatedViaApiAndDeleted"
"","5086","2. Filling Ad Form","","Wed Apr 08 12:47:36 UTC 2026","failed","Wed Apr 08 12:47:41 UTC 2026","","com.elesinsergei.narvaonline.ui.AdvertsUiTest","com.elesinsergei.narvaonline.ui.AdvertsUiTest","addAdvert"
"","25722","Successful post draft creation","","Wed Apr 08 12:50:06 UTC 2026","passed","Wed Apr 08 12:50:32 UTC 2026","","com.elesinsergei.narvaonline.ui.CreatePostDraftUiTest","com.elesinsergei.narvaonline.ui.CreatePostDraftUiTest","shouldCreateDraftPost"
"","9172","Successful person creation via APi","","Wed Apr 08 12:46:38 UTC 2026","failed","Wed Apr 08 12:46:47 UTC 2026","","com.elesinsergei.narvaonline.e2e.PersonHybridTest","com.elesinsergei.narvaonline.e2e.PersonHybridTest","shouldSeeCreatedPersonOnFrontEnd"
"","29675","Successful event creation and deletion","","Wed Apr 08 12:48:37 UTC 2026","passed","Wed Apr 08 12:49:06 UTC 2026","","com.elesinsergei.narvaonline.ui.CreateEventUiTest","com.elesinsergei.narvaonline.ui.CreateEventUiTest","shouldCreateBlog"
"","27979","Successful blog-draft creation","","Wed Apr 08 12:48:09 UTC 2026","passed","Wed Apr 08 12:48:37 UTC 2026","","com.elesinsergei.narvaonline.ui.CreateBlogDraftUiTest","com.elesinsergei.narvaonline.ui.CreateBlogDraftUiTest","shouldCreateBlog"
