"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2169","Person creation and removal via API","","Wed Apr 08 13:38:08 UTC 2026","passed","Wed Apr 08 13:38:10 UTC 2026","","com.elesinsergei.narvaonline.api.PersonApiTest","com.elesinsergei.narvaonline.api.PersonApiTest","personCreatedViaApiAndDeleted"
"","5635","2. Filling Ad Form","","Wed Apr 08 13:39:44 UTC 2026","failed","Wed Apr 08 13:39:50 UTC 2026","","com.elesinsergei.narvaonline.ui.AdvertsUiTest","com.elesinsergei.narvaonline.ui.AdvertsUiTest","addAdvert"
"","5745","Successful page post creation via APi","","Wed Apr 08 13:39:06 UTC 2026","passed","Wed Apr 08 13:39:12 UTC 2026","","com.elesinsergei.narvaonline.e2e.PageHybridTest","com.elesinsergei.narvaonline.e2e.PageHybridTest","shouldSeeCreatedPageOnFrontEnd"
"Check that the API returns a list of posts and a status code of 200.","1201","Getting a list of posts","","Wed Apr 08 13:38:10 UTC 2026","passed","Wed Apr 08 13:38:12 UTC 2026","","com.elesinsergei.narvaonline.api.PostApiTest","com.elesinsergei.narvaonline.api.PostApiTest","shouldGetPostsList"
"","2639","Event creation and removal via API","","Wed Apr 08 13:37:56 UTC 2026","passed","Wed Apr 08 13:37:59 UTC 2026","","com.elesinsergei.narvaonline.api.EventApiTest","com.elesinsergei.narvaonline.api.EventApiTest","eventCreatedViaApiAndDeleted"
"Check that the API returns a list of organizations and a status code of 200.","582","Getting a list of organizations","","Wed Apr 08 13:38:02 UTC 2026","passed","Wed Apr 08 13:38:03 UTC 2026","","com.elesinsergei.narvaonline.api.OrganizationApiTest","com.elesinsergei.narvaonline.api.OrganizationApiTest","shouldGetPostsList"
"","4511","4. Publishing Ad","","Wed Apr 08 13:39:54 UTC 2026","failed","Wed Apr 08 13:39:59 UTC 2026","","com.elesinsergei.narvaonline.ui.AdvertsUiTest","com.elesinsergei.narvaonline.ui.AdvertsUiTest","publish"
"","2822","Organization creation and removal via API","","Wed Apr 08 13:37:59 UTC 2026","passed","Wed Apr 08 13:38:02 UTC 2026","","com.elesinsergei.narvaonline.api.OrganizationApiTest","com.elesinsergei.narvaonline.api.OrganizationApiTest","orgCreatedViaApiAndDeleted"
"","6120","Successful login to the admin panel","","Wed Apr 08 13:42:29 UTC 2026","passed","Wed Apr 08 13:42:35 UTC 2026","","com.elesinsergei.narvaonline.ui.LoginUiTest","com.elesinsergei.narvaonline.ui.LoginUiTest","shouldLoginAsAdmin"
"","23032","Successful post draft creation","","Wed Apr 08 13:42:04 UTC 2026","passed","Wed Apr 08 13:42:27 UTC 2026","","com.elesinsergei.narvaonline.ui.CreatePostDraftUiTest","com.elesinsergei.narvaonline.ui.CreatePostDraftUiTest","shouldCreateDraftPost"
"","3642","Page creation and removal via API","","Wed Apr 08 13:38:04 UTC 2026","passed","Wed Apr 08 13:38:08 UTC 2026","","com.elesinsergei.narvaonline.api.PageApiTest","com.elesinsergei.narvaonline.api.PageApiTest","pageCreatedViaApiAndDeleted"
"","0","simpleTest()","","Wed Apr 08 13:42:35 UTC 2026","passed","Wed Apr 08 13:42:35 UTC 2026","","com.elesinsergei.narvaonline.ui.SimpleTest","com.elesinsergei.narvaonline.ui.SimpleTest","simpleTest"
"","6243","7. Delete User","","Wed Apr 08 13:40:12 UTC 2026","passed","Wed Apr 08 13:40:18 UTC 2026","","com.elesinsergei.narvaonline.ui.AdvertsUiTest","com.elesinsergei.narvaonline.ui.AdvertsUiTest","deleteUser"
"","5301","Blog post creation and removal via API","","Wed Apr 08 13:37:51 UTC 2026","passed","Wed Apr 08 13:37:56 UTC 2026","","com.elesinsergei.narvaonline.api.BlogApiTest","com.elesinsergei.narvaonline.api.BlogApiTest","blogCreatedViaApiAndDeleted"
"","26118","Successful person creation and deletion","","Wed Apr 08 13:41:38 UTC 2026","passed","Wed Apr 08 13:42:04 UTC 2026","","com.elesinsergei.narvaonline.ui.CreatePersonUiTest","com.elesinsergei.narvaonline.ui.CreatePersonUiTest","shouldCreatePerson"
"","6190","6. Delete Ad","","Wed Apr 08 13:40:05 UTC 2026","failed","Wed Apr 08 13:40:12 UTC 2026","","com.elesinsergei.narvaonline.ui.AdvertsUiTest","com.elesinsergei.narvaonline.ui.AdvertsUiTest","deleteAdv"
"","31698","Creation and complete deletion of an organization","","Wed Apr 08 13:38:34 UTC 2026","passed","Wed Apr 08 13:39:06 UTC 2026","","com.elesinsergei.narvaonline.e2e.OrganizationHybridTest","com.elesinsergei.narvaonline.e2e.OrganizationHybridTest","shouldCreateAndForceDeleteOrganization"
"","3432","Post creation and removal via API","","Wed Apr 08 13:38:12 UTC 2026","passed","Wed Apr 08 13:38:15 UTC 2026","","com.elesinsergei.narvaonline.api.PostApiTest","com.elesinsergei.narvaonline.api.PostApiTest","postCreatedViaApiAndDeleted"
"","5486","Successful event post creation via APi","","Wed Apr 08 13:38:29 UTC 2026","passed","Wed Apr 08 13:38:34 UTC 2026","","com.elesinsergei.narvaonline.e2e.EventHybridTest","com.elesinsergei.narvaonline.e2e.EventHybridTest","shouldSeeCreatedEventOnFrontEnd"
"","6617","5. Confirm Ad Publishing","","Wed Apr 08 13:39:59 UTC 2026","failed","Wed Apr 08 13:40:05 UTC 2026","","com.elesinsergei.narvaonline.ui.AdvertsUiTest","com.elesinsergei.narvaonline.ui.AdvertsUiTest","review"
