"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","simpleTest()","","Wed Apr 08 12:38:15 UTC 2026","passed","Wed Apr 08 12:38:15 UTC 2026","","com.elesinsergei.narvaonline.ui.SimpleTest","com.elesinsergei.narvaonline.ui.SimpleTest","simpleTest"
"","6451","Successful post draft creation","","Wed Apr 08 12:37:50 UTC 2026","failed","Wed Apr 08 12:37:56 UTC 2026","","com.elesinsergei.narvaonline.ui.CreatePostDraftUiTest","com.elesinsergei.narvaonline.ui.CreatePostDraftUiTest","shouldCreateDraftPost"
"","5873","Successful page post creation via APi","","Wed Apr 08 12:36:14 UTC 2026","passed","Wed Apr 08 12:36:20 UTC 2026","","com.elesinsergei.narvaonline.e2e.PageHybridTest","com.elesinsergei.narvaonline.e2e.PageHybridTest","shouldSeeCreatedPageOnFrontEnd"
"","6302","7. Delete User","","Wed Apr 08 12:37:16 UTC 2026","failed","Wed Apr 08 12:37:23 UTC 2026","","com.elesinsergei.narvaonline.ui.AdvertsUiTest","com.elesinsergei.narvaonline.ui.AdvertsUiTest","deleteUser"
"","8759","Successful post creation via APi","","Wed Apr 08 12:36:30 UTC 2026","passed","Wed Apr 08 12:36:39 UTC 2026","","com.elesinsergei.narvaonline.e2e.PostHybridTest","com.elesinsergei.narvaonline.e2e.PostHybridTest","shouldSeeCreatedPostOnFrontEnd"
"","4495","3. Review Ad","","Wed Apr 08 12:36:56 UTC 2026","failed","Wed Apr 08 12:37:00 UTC 2026","","com.elesinsergei.narvaonline.ui.AdvertsUiTest","com.elesinsergei.narvaonline.ui.AdvertsUiTest","checkUsernameAndPrice"
"","6859","Successful blog-draft creation","","Wed Apr 08 12:37:24 UTC 2026","failed","Wed Apr 08 12:37:31 UTC 2026","","com.elesinsergei.narvaonline.ui.CreateBlogDraftUiTest","com.elesinsergei.narvaonline.ui.CreateBlogDraftUiTest","shouldCreateBlog"
"","9509","Successful person creation via APi","","Wed Apr 08 12:36:20 UTC 2026","failed","Wed Apr 08 12:36:30 UTC 2026","","com.elesinsergei.narvaonline.e2e.PersonHybridTest","com.elesinsergei.narvaonline.e2e.PersonHybridTest","shouldSeeCreatedPersonOnFrontEnd"
"","11850","1. Register User","","Wed Apr 08 12:36:39 UTC 2026","failed","Wed Apr 08 12:36:50 UTC 2026","","com.elesinsergei.narvaonline.ui.AdvertsUiTest","com.elesinsergei.narvaonline.ui.AdvertsUiTest","registerTest"
"Check that the API returns a list of events and a status code of 200.","757","Getting a list of events","","Wed Apr 08 12:35:26 UTC 2026","passed","Wed Apr 08 12:35:26 UTC 2026","","com.elesinsergei.narvaonline.api.EventApiTest","com.elesinsergei.narvaonline.api.EventApiTest","shouldGetEventList"
"","17359","Successful login to the admin panel","","Wed Apr 08 12:37:58 UTC 2026","failed","Wed Apr 08 12:38:15 UTC 2026","","com.elesinsergei.narvaonline.ui.LoginUiTest","com.elesinsergei.narvaonline.ui.LoginUiTest","shouldLoginAsAdmin"
"Check that the API returns a list of pages and a status code of 200.","1165","Getting a list of pages","","Wed Apr 08 12:35:29 UTC 2026","passed","Wed Apr 08 12:35:31 UTC 2026","","com.elesinsergei.narvaonline.api.PageApiTest","com.elesinsergei.narvaonline.api.PageApiTest","shouldGetPagesList"
"","6384","Successful event creation and deletion","","Wed Apr 08 12:37:31 UTC 2026","failed","Wed Apr 08 12:37:37 UTC 2026","","com.elesinsergei.narvaonline.ui.CreateEventUiTest","com.elesinsergei.narvaonline.ui.CreateEventUiTest","shouldCreateBlog"
"Check that the API returns a list of persons and a status code of 200.","472","Getting a list of persons","","Wed Apr 08 12:35:36 UTC 2026","passed","Wed Apr 08 12:35:37 UTC 2026","","com.elesinsergei.narvaonline.api.PersonApiTest","com.elesinsergei.narvaonline.api.PersonApiTest","shouldGetPersonsList"
"","3339","Post creation and removal via API","","Wed Apr 08 12:35:38 UTC 2026","passed","Wed Apr 08 12:35:41 UTC 2026","","com.elesinsergei.narvaonline.api.PostApiTest","com.elesinsergei.narvaonline.api.PostApiTest","postCreatedViaApiAndDeleted"
