"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5087","Successful event post creation via APi","","Wed Apr 08 14:08:23 UTC 2026","passed","Wed Apr 08 14:08:28 UTC 2026","","com.elesinsergei.narvaonline.e2e.EventHybridTest","com.elesinsergei.narvaonline.e2e.EventHybridTest","shouldSeeCreatedEventOnFrontEnd"
"","25644","Successful page creation and deletion","","Wed Apr 08 14:10:45 UTC 2026","passed","Wed Apr 08 14:11:11 UTC 2026","","com.elesinsergei.narvaonline.ui.CreatePageUiTest","com.elesinsergei.narvaonline.ui.CreatePageUiTest","shouldCreatePage"
"","6821","5. Confirm Ad Publishing","","Wed Apr 08 14:09:37 UTC 2026","failed","Wed Apr 08 14:09:44 UTC 2026","","com.elesinsergei.narvaonline.ui.AdvertsUiTest","com.elesinsergei.narvaonline.ui.AdvertsUiTest","review"
"","5305","Successful page post creation via APi","","Wed Apr 08 14:08:54 UTC 2026","passed","Wed Apr 08 14:08:59 UTC 2026","","com.elesinsergei.narvaonline.e2e.PageHybridTest","com.elesinsergei.narvaonline.e2e.PageHybridTest","shouldSeeCreatedPageOnFrontEnd"
"","2039","Organization creation and removal via API","","Wed Apr 08 14:07:55 UTC 2026","passed","Wed Apr 08 14:07:57 UTC 2026","","com.elesinsergei.narvaonline.api.OrganizationApiTest","com.elesinsergei.narvaonline.api.OrganizationApiTest","orgCreatedViaApiAndDeleted"
"","23189","Successful blog-draft creation","","Wed Apr 08 14:09:57 UTC 2026","passed","Wed Apr 08 14:10:20 UTC 2026","","com.elesinsergei.narvaonline.ui.CreateBlogDraftUiTest","com.elesinsergei.narvaonline.ui.CreateBlogDraftUiTest","shouldCreateBlog"
"","3043","Post creation and removal via API","","Wed Apr 08 14:08:06 UTC 2026","passed","Wed Apr 08 14:08:10 UTC 2026","","com.elesinsergei.narvaonline.api.PostApiTest","com.elesinsergei.narvaonline.api.PostApiTest","postCreatedViaApiAndDeleted"
"Check that the API returns a list of events and a status code of 200.","757","Getting a list of events","","Wed Apr 08 14:07:54 UTC 2026","passed","Wed Apr 08 14:07:55 UTC 2026","","com.elesinsergei.narvaonline.api.EventApiTest","com.elesinsergei.narvaonline.api.EventApiTest","shouldGetEventList"
"","2871","Event creation and removal via API","","Wed Apr 08 14:07:51 UTC 2026","passed","Wed Apr 08 14:07:54 UTC 2026","","com.elesinsergei.narvaonline.api.EventApiTest","com.elesinsergei.narvaonline.api.EventApiTest","eventCreatedViaApiAndDeleted"
"","21197","Successful post draft creation","","Wed Apr 08 14:11:35 UTC 2026","passed","Wed Apr 08 14:11:56 UTC 2026","","com.elesinsergei.narvaonline.ui.CreatePostDraftUiTest","com.elesinsergei.narvaonline.ui.CreatePostDraftUiTest","shouldCreateDraftPost"
"","11125","1. Register User","","Wed Apr 08 14:09:11 UTC 2026","failed","Wed Apr 08 14:09:23 UTC 2026","","com.elesinsergei.narvaonline.ui.AdvertsUiTest","com.elesinsergei.narvaonline.ui.AdvertsUiTest","registerTest"
"","7178","Successful post creation via APi","","Wed Apr 08 14:09:04 UTC 2026","passed","Wed Apr 08 14:09:11 UTC 2026","","com.elesinsergei.narvaonline.e2e.PostHybridTest","com.elesinsergei.narvaonline.e2e.PostHybridTest","shouldSeeCreatedPostOnFrontEnd"
"","13632","Successful blog post creation via APi","","Wed Apr 08 14:08:10 UTC 2026","passed","Wed Apr 08 14:08:23 UTC 2026","","com.elesinsergei.narvaonline.e2e.BlogHybridTest","com.elesinsergei.narvaonline.e2e.BlogHybridTest","shouldSeeCreatedBlogPostOnFrontEnd"
"","25486","Creation and complete deletion of an organization","","Wed Apr 08 14:08:28 UTC 2026","passed","Wed Apr 08 14:08:54 UTC 2026","","com.elesinsergei.narvaonline.e2e.OrganizationHybridTest","com.elesinsergei.narvaonline.e2e.OrganizationHybridTest","shouldCreateAndForceDeleteOrganization"
"","1793","Person creation and removal via API","","Wed Apr 08 14:08:03 UTC 2026","passed","Wed Apr 08 14:08:05 UTC 2026","","com.elesinsergei.narvaonline.api.PersonApiTest","com.elesinsergei.narvaonline.api.PersonApiTest","personCreatedViaApiAndDeleted"
"Open main page and check page title","1874","Check main page title","","Wed Apr 08 14:11:56 UTC 2026","passed","Wed Apr 08 14:11:58 UTC 2026","","com.elesinsergei.narvaonline.ui.HomeUiTest","com.elesinsergei.narvaonline.ui.HomeUiTest","testNarvaonlineTitle"
"","5344","Successful login to the admin panel","","Wed Apr 08 14:11:58 UTC 2026","passed","Wed Apr 08 14:12:03 UTC 2026","","com.elesinsergei.narvaonline.ui.LoginUiTest","com.elesinsergei.narvaonline.ui.LoginUiTest","shouldLoginAsAdmin"
"Check that the API returns a list of blog posts and a status code of 200.","4323","Getting a list of blog posts","","Wed Apr 08 14:07:42 UTC 2026","passed","Wed Apr 08 14:07:47 UTC 2026","","com.elesinsergei.narvaonline.api.BlogApiTest","com.elesinsergei.narvaonline.api.BlogApiTest","shouldGetBlogPostList"
"","4418","3. Review Ad","","Wed Apr 08 14:09:28 UTC 2026","failed","Wed Apr 08 14:09:33 UTC 2026","","com.elesinsergei.narvaonline.ui.AdvertsUiTest","com.elesinsergei.narvaonline.ui.AdvertsUiTest","checkUsernameAndPrice"
"","23512","Successful person creation and deletion","","Wed Apr 08 14:11:11 UTC 2026","passed","Wed Apr 08 14:11:35 UTC 2026","","com.elesinsergei.narvaonline.ui.CreatePersonUiTest","com.elesinsergei.narvaonline.ui.CreatePersonUiTest","shouldCreatePerson"
"Check that the API returns a list of persons and a status code of 200.","543","Getting a list of persons","","Wed Apr 08 14:08:05 UTC 2026","passed","Wed Apr 08 14:08:05 UTC 2026","","com.elesinsergei.narvaonline.api.PersonApiTest","com.elesinsergei.narvaonline.api.PersonApiTest","shouldGetPersonsList"
"Check that the API returns a list of organizations and a status code of 200.","522","Getting a list of organizations","","Wed Apr 08 14:07:57 UTC 2026","passed","Wed Apr 08 14:07:57 UTC 2026","","com.elesinsergei.narvaonline.api.OrganizationApiTest","com.elesinsergei.narvaonline.api.OrganizationApiTest","shouldGetPostsList"
"","25465","Successful event creation and deletion","","Wed Apr 08 14:10:20 UTC 2026","passed","Wed Apr 08 14:10:45 UTC 2026","","com.elesinsergei.narvaonline.ui.CreateEventUiTest","com.elesinsergei.narvaonline.ui.CreateEventUiTest","shouldCreateBlog"
"","3068","Page creation and removal via API","","Wed Apr 08 14:08:00 UTC 2026","passed","Wed Apr 08 14:08:03 UTC 2026","","com.elesinsergei.narvaonline.api.PageApiTest","com.elesinsergei.narvaonline.api.PageApiTest","pageCreatedViaApiAndDeleted"
"","5903","2. Filling Ad Form","","Wed Apr 08 14:09:23 UTC 2026","failed","Wed Apr 08 14:09:28 UTC 2026","","com.elesinsergei.narvaonline.ui.AdvertsUiTest","com.elesinsergei.narvaonline.ui.AdvertsUiTest","addAdvert"
