"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2750","Parametrized posts test Secret Post 1776171774836 (Status: publish)","","Tue Apr 14 13:02:58 UTC 2026","passed","Tue Apr 14 13:03:01 UTC 2026","","com.elesinsergei.narvaonline.e2e.PostParamHybridTest","com.elesinsergei.narvaonline.e2e.PostParamHybridTest","testWordPressPostLogic"
"","5223","Successful event post creation via APi","","Tue Apr 14 13:02:02 UTC 2026","passed","Tue Apr 14 13:02:08 UTC 2026","","com.elesinsergei.narvaonline.e2e.EventHybridTest","com.elesinsergei.narvaonline.e2e.EventHybridTest","shouldSeeCreatedEventOnFrontEnd"
"","2668","Parametrized posts test Test & Post <> ""quotes"" (Status: publish)","","Tue Apr 14 13:03:07 UTC 2026","passed","Tue Apr 14 13:03:10 UTC 2026","","com.elesinsergei.narvaonline.e2e.PostParamHybridTest","com.elesinsergei.narvaonline.e2e.PostParamHybridTest","testWordPressPostLogic"
"","3874","Parametrized posts test Standard Post 1776171774834 (Status: publish)","","Tue Apr 14 13:02:54 UTC 2026","passed","Tue Apr 14 13:02:58 UTC 2026","","com.elesinsergei.narvaonline.e2e.PostParamHybridTest","com.elesinsergei.narvaonline.e2e.PostParamHybridTest","testWordPressPostLogic"
"","3384","Post creation and removal via API","","Tue Apr 14 13:01:50 UTC 2026","passed","Tue Apr 14 13:01:53 UTC 2026","","com.elesinsergei.narvaonline.api.PostApiTest","com.elesinsergei.narvaonline.api.PostApiTest","postCreatedViaApiAndDeleted"
"","5102","Successful person creation via APi","","Tue Apr 14 13:02:41 UTC 2026","passed","Tue Apr 14 13:02:46 UTC 2026","","com.elesinsergei.narvaonline.e2e.PersonHybridTest","com.elesinsergei.narvaonline.e2e.PersonHybridTest","shouldSeeCreatedPersonOnFrontEnd"
"","1987","5. Confirm Ad Publishing","","Tue Apr 14 13:03:55 UTC 2026","passed","Tue Apr 14 13:03:57 UTC 2026","","com.elesinsergei.narvaonline.ui.AdvertsUiTest","com.elesinsergei.narvaonline.ui.AdvertsUiTest","review"
"","2824","Parametrized posts test AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA (Status: publish)","","Tue Apr 14 13:03:04 UTC 2026","passed","Tue Apr 14 13:03:07 UTC 2026","","com.elesinsergei.narvaonline.e2e.PostParamHybridTest","com.elesinsergei.narvaonline.e2e.PostParamHybridTest","testWordPressPostLogic"
"","2069","4. Publishing Ad","","Tue Apr 14 13:03:53 UTC 2026","passed","Tue Apr 14 13:03:55 UTC 2026","","com.elesinsergei.narvaonline.ui.AdvertsUiTest","com.elesinsergei.narvaonline.ui.AdvertsUiTest","publish"
"Check that the API returns a list of pages and a status code of 200.","2632","Getting a list of pages","","Tue Apr 14 13:01:39 UTC 2026","passed","Tue Apr 14 13:01:42 UTC 2026","","com.elesinsergei.narvaonline.api.PageApiTest","com.elesinsergei.narvaonline.api.PageApiTest","shouldGetPagesList"
"","2438","Parametrized posts test <script>alert(1)</script> (Status: publish)","","Tue Apr 14 13:03:02 UTC 2026","passed","Tue Apr 14 13:03:04 UTC 2026","","com.elesinsergei.narvaonline.e2e.PostParamHybridTest","com.elesinsergei.narvaonline.e2e.PostParamHybridTest","testWordPressPostLogic"
"","23420","Successful blog-draft creation","","Tue Apr 14 13:04:10 UTC 2026","passed","Tue Apr 14 13:04:33 UTC 2026","","com.elesinsergei.narvaonline.ui.CreateBlogDraftUiTest","com.elesinsergei.narvaonline.ui.CreateBlogDraftUiTest","shouldCreateBlog"
"Open main page and check page title","3893","Check main page title","","Tue Apr 14 13:06:20 UTC 2026","passed","Tue Apr 14 13:06:24 UTC 2026","","com.elesinsergei.narvaonline.ui.HomeUiTest","com.elesinsergei.narvaonline.ui.HomeUiTest","testNarvaonlineTitle"
"","555","Parametrized user test Проверка создания юзера: username","","Tue Apr 14 13:03:27 UTC 2026","passed","Tue Apr 14 13:03:28 UTC 2026","","com.elesinsergei.narvaonline.e2e.UserParamHybridTest","com.elesinsergei.narvaonline.e2e.UserParamHybridTest","userCreatedViaApiAndDeleted"
"","4742","6. Delete Ad","","Tue Apr 14 13:03:57 UTC 2026","passed","Tue Apr 14 13:04:02 UTC 2026","","com.elesinsergei.narvaonline.ui.AdvertsUiTest","com.elesinsergei.narvaonline.ui.AdvertsUiTest","deleteAdv"
"Check that the API returns a list of events and a status code of 200.","567","Getting a list of events","","Tue Apr 14 13:01:35 UTC 2026","passed","Tue Apr 14 13:01:36 UTC 2026","","com.elesinsergei.narvaonline.api.EventApiTest","com.elesinsergei.narvaonline.api.EventApiTest","shouldGetEventList"
