"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7269","Successful post creation via APi","","Thu Apr 09 06:31:20 UTC 2026","passed","Thu Apr 09 06:31:27 UTC 2026","","com.elesinsergei.narvaonline.e2e.PostHybridTest","com.elesinsergei.narvaonline.e2e.PostHybridTest","shouldSeeCreatedPostOnFrontEnd"
"","4907","Successful person creation via APi","","Thu Apr 09 06:31:15 UTC 2026","passed","Thu Apr 09 06:31:20 UTC 2026","","com.elesinsergei.narvaonline.e2e.PersonHybridTest","com.elesinsergei.narvaonline.e2e.PersonHybridTest","shouldSeeCreatedPersonOnFrontEnd"
"","13366","2. Filling Ad Form","","Thu Apr 09 06:31:38 UTC 2026","passed","Thu Apr 09 06:31:51 UTC 2026","","com.elesinsergei.narvaonline.ui.AdvertsUiTest","com.elesinsergei.narvaonline.ui.AdvertsUiTest","addAdvert"
"","2021","4. Publishing Ad","","Thu Apr 09 06:31:51 UTC 2026","passed","Thu Apr 09 06:31:53 UTC 2026","","com.elesinsergei.narvaonline.ui.AdvertsUiTest","com.elesinsergei.narvaonline.ui.AdvertsUiTest","publish"
"","2476","Organization creation and removal via API","","Thu Apr 09 06:30:07 UTC 2026","passed","Thu Apr 09 06:30:09 UTC 2026","","com.elesinsergei.narvaonline.api.OrganizationApiTest","com.elesinsergei.narvaonline.api.OrganizationApiTest","orgCreatedViaApiAndDeleted"
"Check that the API returns a list of events and a status code of 200.","543","Getting a list of events","","Thu Apr 09 06:30:06 UTC 2026","passed","Thu Apr 09 06:30:07 UTC 2026","","com.elesinsergei.narvaonline.api.EventApiTest","com.elesinsergei.narvaonline.api.EventApiTest","shouldGetEventList"
"","22371","Successful post draft creation","","Thu Apr 09 06:33:45 UTC 2026","passed","Thu Apr 09 06:34:07 UTC 2026","","com.elesinsergei.narvaonline.ui.CreatePostDraftUiTest","com.elesinsergei.narvaonline.ui.CreatePostDraftUiTest","shouldCreateDraftPost"
"","2065","Person creation and removal via API","","Thu Apr 09 06:30:16 UTC 2026","passed","Thu Apr 09 06:30:18 UTC 2026","","com.elesinsergei.narvaonline.api.PersonApiTest","com.elesinsergei.narvaonline.api.PersonApiTest","personCreatedViaApiAndDeleted"
"Check that the API returns a list of pages and a status code of 200.","2833","Getting a list of pages","","Thu Apr 09 06:30:10 UTC 2026","passed","Thu Apr 09 06:30:13 UTC 2026","","com.elesinsergei.narvaonline.api.PageApiTest","com.elesinsergei.narvaonline.api.PageApiTest","shouldGetPagesList"
"","4427","6. Delete Ad","","Thu Apr 09 06:31:55 UTC 2026","passed","Thu Apr 09 06:32:00 UTC 2026","","com.elesinsergei.narvaonline.ui.AdvertsUiTest","com.elesinsergei.narvaonline.ui.AdvertsUiTest","deleteAdv"
"","23764","Successful person creation and deletion","","Thu Apr 09 06:33:21 UTC 2026","passed","Thu Apr 09 06:33:45 UTC 2026","","com.elesinsergei.narvaonline.ui.CreatePersonUiTest","com.elesinsergei.narvaonline.ui.CreatePersonUiTest","shouldCreatePerson"
"","10865","1. Register User","","Thu Apr 09 06:31:27 UTC 2026","passed","Thu Apr 09 06:31:38 UTC 2026","","com.elesinsergei.narvaonline.ui.AdvertsUiTest","com.elesinsergei.narvaonline.ui.AdvertsUiTest","registerTest"
"","15741","Successful blog post creation via APi","","Thu Apr 09 06:30:23 UTC 2026","passed","Thu Apr 09 06:30:38 UTC 2026","","com.elesinsergei.narvaonline.e2e.BlogHybridTest","com.elesinsergei.narvaonline.e2e.BlogHybridTest","shouldSeeCreatedBlogPostOnFrontEnd"
"","3166","Post creation and removal via API","","Thu Apr 09 06:30:19 UTC 2026","passed","Thu Apr 09 06:30:23 UTC 2026","","com.elesinsergei.narvaonline.api.PostApiTest","com.elesinsergei.narvaonline.api.PostApiTest","postCreatedViaApiAndDeleted"
"","24174","Successful page creation and deletion","","Thu Apr 09 06:32:57 UTC 2026","passed","Thu Apr 09 06:33:21 UTC 2026","","com.elesinsergei.narvaonline.ui.CreatePageUiTest","com.elesinsergei.narvaonline.ui.CreatePageUiTest","shouldCreatePage"
"","2422","Event creation and removal via API","","Thu Apr 09 06:30:04 UTC 2026","passed","Thu Apr 09 06:30:06 UTC 2026","","com.elesinsergei.narvaonline.api.EventApiTest","com.elesinsergei.narvaonline.api.EventApiTest","eventCreatedViaApiAndDeleted"
"","52","3. Review Ad","","Thu Apr 09 06:31:51 UTC 2026","passed","Thu Apr 09 06:31:51 UTC 2026","","com.elesinsergei.narvaonline.ui.AdvertsUiTest","com.elesinsergei.narvaonline.ui.AdvertsUiTest","checkUsernameAndPrice"
"Check that the API returns a list of blog posts and a status code of 200.","4911","Getting a list of blog posts","","Thu Apr 09 06:29:54 UTC 2026","passed","Thu Apr 09 06:29:59 UTC 2026","","com.elesinsergei.narvaonline.api.BlogApiTest","com.elesinsergei.narvaonline.api.BlogApiTest","shouldGetBlogPostList"
"","3","simpleTest()","","Thu Apr 09 06:34:14 UTC 2026","passed","Thu Apr 09 06:34:14 UTC 2026","","com.elesinsergei.narvaonline.ui.SimpleTest","com.elesinsergei.narvaonline.ui.SimpleTest","simpleTest"
"","5071","Successful page post creation via APi","","Thu Apr 09 06:31:10 UTC 2026","passed","Thu Apr 09 06:31:15 UTC 2026","","com.elesinsergei.narvaonline.e2e.PageHybridTest","com.elesinsergei.narvaonline.e2e.PageHybridTest","shouldSeeCreatedPageOnFrontEnd"
