"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","24095","Successful person creation and deletion","","Wed Apr 08 13:11:44 UTC 2026","passed","Wed Apr 08 13:12:08 UTC 2026","","com.elesinsergei.narvaonline.ui.CreatePersonUiTest","com.elesinsergei.narvaonline.ui.CreatePersonUiTest","shouldCreatePerson"
"","3162","Event creation and removal via API","","Wed Apr 08 13:08:26 UTC 2026","passed","Wed Apr 08 13:08:29 UTC 2026","","com.elesinsergei.narvaonline.api.EventApiTest","com.elesinsergei.narvaonline.api.EventApiTest","eventCreatedViaApiAndDeleted"
"","5870","6. Delete Ad","","Wed Apr 08 13:10:20 UTC 2026","failed","Wed Apr 08 13:10:26 UTC 2026","","com.elesinsergei.narvaonline.ui.AdvertsUiTest","com.elesinsergei.narvaonline.ui.AdvertsUiTest","deleteAdv"
"Open main page and check page title","1896","Check main page title","","Wed Apr 08 13:12:30 UTC 2026","passed","Wed Apr 08 13:12:32 UTC 2026","","com.elesinsergei.narvaonline.ui.HomeUiTest","com.elesinsergei.narvaonline.ui.HomeUiTest","testNarvaonlineTitle"
"","4991","Successful person creation via APi","","Wed Apr 08 13:09:33 UTC 2026","passed","Wed Apr 08 13:09:38 UTC 2026","","com.elesinsergei.narvaonline.e2e.PersonHybridTest","com.elesinsergei.narvaonline.e2e.PersonHybridTest","shouldSeeCreatedPersonOnFrontEnd"
"","6005","Successful login to the admin panel","","Wed Apr 08 13:12:32 UTC 2026","passed","Wed Apr 08 13:12:38 UTC 2026","","com.elesinsergei.narvaonline.ui.LoginUiTest","com.elesinsergei.narvaonline.ui.LoginUiTest","shouldLoginAsAdmin"
"","5456","2. Filling Ad Form","","Wed Apr 08 13:09:59 UTC 2026","failed","Wed Apr 08 13:10:05 UTC 2026","","com.elesinsergei.narvaonline.ui.AdvertsUiTest","com.elesinsergei.narvaonline.ui.AdvertsUiTest","addAdvert"
"","2977","Post creation and removal via API","","Wed Apr 08 13:08:42 UTC 2026","passed","Wed Apr 08 13:08:45 UTC 2026","","com.elesinsergei.narvaonline.api.PostApiTest","com.elesinsergei.narvaonline.api.PostApiTest","postCreatedViaApiAndDeleted"
"","2927","Page creation and removal via API","","Wed Apr 08 13:08:36 UTC 2026","passed","Wed Apr 08 13:08:39 UTC 2026","","com.elesinsergei.narvaonline.api.PageApiTest","com.elesinsergei.narvaonline.api.PageApiTest","pageCreatedViaApiAndDeleted"
"","25092","Successful event creation and deletion","","Wed Apr 08 13:10:55 UTC 2026","passed","Wed Apr 08 13:11:20 UTC 2026","","com.elesinsergei.narvaonline.ui.CreateEventUiTest","com.elesinsergei.narvaonline.ui.CreateEventUiTest","shouldCreateBlog"
