"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5309","Successful person creation via APi","","Sat Apr 18 18:34:09 UTC 2026","passed","Sat Apr 18 18:34:15 UTC 2026","","com.elesinsergei.narvaonline.e2e.PersonHybridTest","com.elesinsergei.narvaonline.e2e.PersonHybridTest","shouldSeeCreatedPersonOnFrontEnd"
"","3072","Parametrized posts test <script>alert(1)</script> (Status: publish)","","Sat Apr 18 18:34:30 UTC 2026","passed","Sat Apr 18 18:34:33 UTC 2026","","com.elesinsergei.narvaonline.e2e.PostParamHybridTest","com.elesinsergei.narvaonline.e2e.PostParamHybridTest","testWordPressPostLogic"
"","3521","Page creation and removal via API","","Sat Apr 18 18:33:06 UTC 2026","passed","Sat Apr 18 18:33:09 UTC 2026","","com.elesinsergei.narvaonline.api.PageApiTest","com.elesinsergei.narvaonline.api.PageApiTest","pageCreatedViaApiAndDeleted"
"","8535","Successful post creation via APi","","Sat Apr 18 18:34:15 UTC 2026","passed","Sat Apr 18 18:34:23 UTC 2026","","com.elesinsergei.narvaonline.e2e.PostHybridTest","com.elesinsergei.narvaonline.e2e.PostHybridTest","shouldSeeCreatedPostOnFrontEnd"
"","2739","Parametrized posts test AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA (Status: publish)","","Sat Apr 18 18:34:33 UTC 2026","passed","Sat Apr 18 18:34:36 UTC 2026","","com.elesinsergei.narvaonline.e2e.PostParamHybridTest","com.elesinsergei.narvaonline.e2e.PostParamHybridTest","testWordPressPostLogic"
"","752","Parametrized posts test      (Status: publish)","","Sat Apr 18 18:34:29 UTC 2026","passed","Sat Apr 18 18:34:30 UTC 2026","","com.elesinsergei.narvaonline.e2e.PostParamHybridTest","com.elesinsergei.narvaonline.e2e.PostParamHybridTest","testWordPressPostLogic"
"","2179","5. Confirm Ad Publishing","","Sat Apr 18 18:35:25 UTC 2026","passed","Sat Apr 18 18:35:28 UTC 2026","","com.elesinsergei.narvaonline.ui.AdvertsUiTest","com.elesinsergei.narvaonline.ui.AdvertsUiTest","review"
"","2573","Parametrized posts test Test & Post <> ""quotes"" (Status: publish)","","Sat Apr 18 18:34:36 UTC 2026","passed","Sat Apr 18 18:34:39 UTC 2026","","com.elesinsergei.narvaonline.e2e.PostParamHybridTest","com.elesinsergei.narvaonline.e2e.PostParamHybridTest","testWordPressPostLogic"
"","14043","2. Filling Ad Form","","Sat Apr 18 18:35:09 UTC 2026","passed","Sat Apr 18 18:35:23 UTC 2026","","com.elesinsergei.narvaonline.ui.AdvertsUiTest","com.elesinsergei.narvaonline.ui.AdvertsUiTest","addAdvert"
"","8536","Parametrized user test Проверка создания юзера: 1APItestParamUser","","Sat Apr 18 18:34:48 UTC 2026","passed","Sat Apr 18 18:34:57 UTC 2026","","com.elesinsergei.narvaonline.e2e.UserParamHybridTest","com.elesinsergei.narvaonline.e2e.UserParamHybridTest","userCreatedViaApiAndDeleted"
